law,law_number,punished,punished_percent,punishment,punishment_order,punishment_text
"Статья 19.5. Невыполнение в срок законного предписания (постановления, представления, решения) органа (должностного лица), осуществляющего государственный надзор (контроль), организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора (должностного лица), органа (должностного лица), осуществляющего муниципальный контроль",19.05,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.5. Невыполнение в срок законного предписания (постановления, представления, решения) органа (должностного лица), осуществляющего государственный надзор (контроль), организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора (должностного лица), органа (должностного лица), осуществляющего муниципальный контроль",19.05,225,0.001858336912352572,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.5. Невыполнение в срок законного предписания (постановления, представления, решения) органа (должностного лица), осуществляющего государственный надзор (контроль), организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора (должностного лица), органа (должностного лица), осуществляющего муниципальный контроль",19.05,0,0.0,Конфискация,4,Конфискация
"Статья 19.5. Невыполнение в срок законного предписания (постановления, представления, решения) органа (должностного лица), осуществляющего государственный надзор (контроль), организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора (должностного лица), органа (должностного лица), осуществляющего муниципальный контроль",19.05,447,0.0036918959992071096,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.5. Невыполнение в срок законного предписания (постановления, представления, решения) органа (должностного лица), осуществляющего государственный надзор (контроль), организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора (должностного лица), органа (должностного лица), осуществляющего муниципальный контроль",19.05,120404,0.9944497670884404,Штраф,1,Штраф
Статья 19.7. Непредставление сведений (информации),19.07,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 19.7. Непредставление сведений (информации),19.07,0,0.0,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 19.7. Непредставление сведений (информации),19.07,0,0.0,Конфискация,4,Конфискация
Статья 19.7. Непредставление сведений (информации),19.07,0,0.0,Приостановление деятельности,2,Приостановление деятельности
Статья 19.7. Непредставление сведений (информации),19.07,21459,1.0,Штраф,1,Штраф
"Статья 19.4.1. Воспрепятствование законной деятельности должностного лица органа государственного контроля (надзора), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа муниципального контроля",19.04,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.4.1. Воспрепятствование законной деятельности должностного лица органа государственного контроля (надзора), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа муниципального контроля",19.04,8,0.0005140397095675641,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.4.1. Воспрепятствование законной деятельности должностного лица органа государственного контроля (надзора), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа муниципального контроля",19.04,0,0.0,Конфискация,4,Конфискация
"Статья 19.4.1. Воспрепятствование законной деятельности должностного лица органа государственного контроля (надзора), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа муниципального контроля",19.04,0,0.0,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.4.1. Воспрепятствование законной деятельности должностного лица органа государственного контроля (надзора), должностного лица организации, уполномоченной в соответствии с федеральными законами на осуществление государственного надзора, должностного лица органа муниципального контроля",19.04,15555,0.9994859602904325,Штраф,1,Штраф
"Статья 19.20. Осуществление деятельности, не связанной с извлечением прибыли, без специального разрешения (лицензии)",19.20,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 19.20. Осуществление деятельности, не связанной с извлечением прибыли, без специального разрешения (лицензии)",19.20,1,0.0002556237218813906,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 19.20. Осуществление деятельности, не связанной с извлечением прибыли, без специального разрешения (лицензии)",19.20,0,0.0,Конфискация,4,Конфискация
"Статья 19.20. Осуществление деятельности, не связанной с извлечением прибыли, без специального разрешения (лицензии)",19.20,212,0.0541922290388548,Приостановление деятельности,2,Приостановление деятельности
"Статья 19.20. Осуществление деятельности, не связанной с извлечением прибыли, без специального разрешения (лицензии)",19.20,3699,0.9455521472392638,Штраф,1,Штраф
"Статья 17.7. Невыполнение законных требований прокурора, следователя, дознавателя или должностного лица, осуществляющего производство по делу об административном правонарушении",17.07,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
"Статья 17.7. Невыполнение законных требований прокурора, следователя, дознавателя или должностного лица, осуществляющего производство по делу об административном правонарушении",17.07,40,0.002567723712928489,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
"Статья 17.7. Невыполнение законных требований прокурора, следователя, дознавателя или должностного лица, осуществляющего производство по делу об административном правонарушении",17.07,0,0.0,Конфискация,4,Конфискация
"Статья 17.7. Невыполнение законных требований прокурора, следователя, дознавателя или должностного лица, осуществляющего производство по делу об административном правонарушении",17.07,55,0.0035306201052766723,Приостановление деятельности,2,Приостановление деятельности
"Статья 17.7. Невыполнение законных требований прокурора, следователя, дознавателя или должностного лица, осуществляющего производство по делу об административном правонарушении",17.07,15483,0.9939016561817948,Штраф,1,Штраф
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,0,0.0,Административный арест или обязательные работы,5,Адм. арест<br> или обяз. работы
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,21,0.008875739644970414,Дисквалификация или лишение спец. права,3,Дисквалификация или лишение спец. права
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,0,0.0,Конфискация,4,Конфискация
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,1683,0.7113271344040575,Приостановление деятельности,2,Приостановление деятельности
Статья 9.1. Нарушение требований промышленной безопасности или условий лицензий на осуществление видов деятельности в области промышленной безопасности опасных производственных объектов,9.01,662,0.2797971259509721,Штраф,1,Штраф
